name,genre,director,country,year
"Истинные ценности (фильм, 1998, Индия)",драма,К. Мурали Мохан Рао,Индия,1998
Истоки (фильм),"драма, исторический фильм",Иван Лукинский,СССР,1973
"Истинные ценности (фильм, 1998, США)",драма,Карл Франклин,США,1998
Истоки опасности,шпионский триллер,Рауль Уолш,США,1943
Истинный цвет,драма,Джордж Галло,США,2006
Истории из морга,фильм ужасов,Расти Кандифф,США,1995
Истории семьи Майровиц,трагикомедия,Ноа Баумбах,США,2017
Истории на супер 8,"документальный фильм, музыкальный фильм",Эмир Кустурица,"Германия, Италия",2001
Истории ужаса,фильм ужасов,Роджер Корман,США,1962
Истории призраков,фильм ужасов,"Энди Найман, Джереми Дайсон",Великобритания,2017
Истории наших жизней,"драма, ЛГБТ-фильм",Джим Чучу,Кения,2014
Исторический день,документальный фильм,Владимир Ешурин,"Северный Вьетнам, СССР",1955
История Антуана Фишера,"мелодрама, биографический фильм, Саундтрек",Дензел Вашингтон,США,2002
"История Аси Клячиной, которая любила, да не вышла замуж",драма,Андрей Кончаловский,СССР,1967
История Адели Г.,"историко, биографическая, драма",Франсуа Трюффо,Франция,1975
История Бадди Холли,биография,Стив Раш,США,1978
История болезни (фильм),драма,Алексей Праздников,СССР,1990
История Бетти Форд,"биографический фильм, драма",Дэвид Грин,США,1987
История Брэндона Тины,документальный фильм,"Сьюзан Муска, Грета Олафсдоттир",США,1998
История Бонни Паркер,"нуар, биография",Уильям Уитни,США,1958
История в Лас-Вегасе,нуар,Роберт Стивенсон,США,1952
История в Феникс-сити,Фильм нуар,Фил Карлсон,США,1955
История Вернона и Айрин Касл (фильм),"мелодрама, мюзикл",Г.К. Поттер,США,1939
История вечной любви,"драма, комедия, мелодрама",Энди Теннант,США,1998
История влюблённых в Нанива,мелодрама,Тому Утида,Япония,1959
История греха,"исторический фильм, драма",Валериан Боровик,Польша,1975
История Дайаны Линклеттер,комедия,Джон Уотерс,США,1970
"История двух городов (фильм, 1911)",драматический фильм,Уильям Хамфри,США,1911
"История двух сестёр (фильм, 2003)","ужасы, драма, триллер, мистика",Ким Чжи Ун,Республика Корея,2003
История двух миров,"драма, немое кино",Фрэнк Ллойд,США,1921
История дельфина,"драма, семейный",Чарльз Мартин Смит,США,2011
История дельфина 2,"драма, семейный",Чарльз Мартин Смит,США,2014
История Джейн Мэнсфилд,"фильм-биография, драма",Дик Лоури,США,1980
История Джоанны,"порнофильм, драма",Джерард Дамиано,США,1975
"Инферно (фильм, 1997)","Боевик, Приключения",Фред Олен Рэй,США,1997
"Инферно (фильм, 1999)","боевик, криминальный фильм, триллер",Джон Г. Эдвилдсен,США,1999
Инфоголик,"комедия, кинофантастика","Валентин Шпаков, Владислав Климчук",Украина,2017
"Инферно (фильм, 2016)","приключения, триллер",Рон Ховард,США,2016
"Информатор (фильм, 1997)",драма,Джим Макбрайд,США,1997
"Информатор (фильм, 1963)","криминальный фильм, фильм-тайна, фильм ужасов",Альфред Форер,"Франция, ФРГ",1963
Информаторы (фильм),"драма, криминальный фильм, триллер",Грегор Джордан,США,2008
Инцидент Альфа,"ужасы, научная фантастика",Билл Ребейн,США,1978
Иные нынче времена (фильм),комедия,Михаил Чиаурели,СССР,1965
Инцидент с «чёрной пушкой»,комедия,Хуан Цзяньсинь,Китай,1985
Ио (фильм),фантастика,Джонатан Хелперт,США,2019
Инцидент на границе (фильм),Фильм нуар,Энтони Манн,США,1949
"Инцидент, или Случай в метро","драма, неонуар, триллер",Ларри Пирс,США,1967
Иоанна — женщина на папском престоле,"драма, исторический фильм, мелодрама",Зёнке Вортман,"Германия, Великобритания, Италия, Испания",2009
Иоаким и Апокалипсис,"боевик, приключения, биографический фильм, фэнтези",Река Иордан,Италия,2024
Иоланта (фильм-опера),фильм-опера,Владимир Гориккер,СССР,1963
Иона (фильм),драма,Валериу Жереги,СССР,1987
"Иона, или Художник за работой (фильм)","драма, притча, короткометражный",Александр Кайдановский,СССР,1984
Ип Ман 2,"боевик, биографический фильм, исторический фильм",Вилсон Ип,"Гонконг, Китай",2010
Ип Ман (фильм),"боевик, драма, биография, история",Уилсон Ип,"Гонконг, Китай",2008
Ип Ман 3,"боевик, биографический фильм, исторический фильм",Уилсон Ип,Гонконг,2015
Ип Ман 4: Финал,"боевик, биографический фильм, исторический фильм, драма",Уилсон Ип Вайсёнь,Гонконг,2019
Ип Ман: Последняя схватка,"боевик, биографический фильм, исторический фильм",Херман Яу,Гонконг,2013
"Ирена, домой!","комедия, мелодрама",Ян Фетке,Польша,1955
Ирина Кирсанова,"драма, мелодрама",Евгений Бауэр,Российская империя,1915
Ирис в крови,джалло,Джулиано Карминео,Италия,1972
Ирина Палм сделает это лучше,драма,Сэм Гарбарски,"Бельгия, Великобритания, Люксембург, Франция, Германия",2007
Ирис и лейтенант,Драма,Альф Шёберг,Швеция,1946
Ирландский везунчик,комедия,Пол Хоэн,США,2001
Ирландский маршрут,"драма, детектив",Кен Лоуч,"Великобритания, Франция, Италия, Бельгия, Испания",2010
Иррациональный человек,"драма, детектив",Вуди Аллен,США,2015
Ирма Веп (фильм),"драма, комедия",Оливье Ассаяс,Франция,1996
Ирония любви,комедия,Александр Черняев,"Россия, Казахстан",2010
Искатели (вестерн),вестерн,Джон Форд,США,1956
Искажения (фильм),триллер,Арманд Мастроянни,США,1987
Искатели приключений,приключенческий фильм,Робер Энрико,"Франция, Италия",1967
"Искатели (фильм, 1956, СССР)",мелодрама,Михаил Шапиро,СССР,1956
Искатели могил 2,"фильм ужасов, псевдодокументальный фильм, триллер",Джон Поликуин,Канада,2012
Искатель воды,"Драма, Исторический фильм",Рассел Кроу,"Австралия, США, Турция",2014
"Искатели приключений (фильм, 2012)","приключения, комедия",Максим Воронков,Россия,2012
Искатели счастья,комедийная драма,"Владимир Владимирович Корш-Саблин, Иосиф Соломонович Шапиро",СССР,1936
Искатель женских сердец,драма,Director,Country,1922
Искатель Востока,документальный фильм,Masoud Taheri,Иран,2019
Искатель приключений,комедия,Чарли Чаплин,США,1917
"Искренне, безумно, сильно","фэнтези, драма, романтический фильм",Энтони Мингелла,Великобритания,1991
"Искатель приключений (фильм, 1983)",приключения,Кальё Кийск,СССР,1983
Исключения без правил,сатира,"Владимир Бортко, Виктор Бутурлин, Валерий Наумов, Александр Рогожкин",СССР,1986
Исключение (фильм),"драма, романтический фильм",Дэвид Лево,Великобритания,2016
Искры из глаз,"боевик, приключенческий фильм, триллер",Джон Глен,Великобритания,1987
"Искренность (фильм, 1939)",фильм-драма,Микио Нарусэ,Япония,1939
Искупление чужих грехов,Genre,Валерьян Пидпалый,СССР,1978
Искуситель,"ужасы, мистика",Рафал Зелински,США,1988
"Искусительница (фильм, 2022)","научно-фантастический, триллер",Франклин Рич,США,2022
Искусство войны 2: Предательство,"боевик, триллер",Йозеф Руснак,"Канада, США",2008
Искусственный рай (фильм),драма,Маркус Прадо,Бразилия,2012
Искусство войны (фильм),боевик,Кристиан Дюгей,"США, Канада",2000
История Дирка Дигглера,псевдодокументальный фильм,Пол Томас Андерсон,США,1988
История женщины-якудза,"криминальная драма, pinky violence, боевик",Тэруо Исии,Япония,1973
История Дэвида Копперфилда,комедийная драма,Армандо Ианнуччи,"Великобритания, США, Греция",2019
История золотой рыбки,короткометражный фильм,Эдмон Сешан,Франция,1959
История лучников Сандзюсангэн-до,драма,Микио Нарусэ,Япония,1945
История Золушки,Романтическая комедия,Марк Росман,Country,2004
История Золушки 3,"мелодрама, комедия",Дэймон Сантостефано,США,2011
"История любви (фильм, 1970)","драма, мелодрама",Артур Хиллер,США,1970
История кино в Попелявах,Драма,Ян Якуб Кольский,Польша,1998
"История любви (фильм, 2002)","комедия, мелодрама",Даниэль Томпсон,"Франция, Великобритания",2002
История любви и ножей,"комедия, пародия",Серджо Корбуччи,Италия,1971
История Мари и Жюльена,"драма, мистика, мелодрама",Жак Риветт,"Франция, Италия",2003
История Люка,"комедия, мелодрама",Алонсо Майо,Country,2012
История моей жены,"драма, романтический фильм",Ильдико Эньеди,"Германия, Франция, Италия, Венгрия",2021
История Мари и трёх щенков,драма,Рюити Иномата,Япония,2007
История моей глупости,Кинокомедия,Мартон Келети,Венгрия,1965
История Молли Х,Фильм нуар,Крейн Уилбур,США,1949
История морского пехотинца,Драма,Нед Фарр,США,2010
История О (фильм),"эротика, драма",Жюст Жакен,"Франция, Канада",1975
История монахини,драма,Фред Циннеман,США,1959
История о нас,"романтическая комедия, драма",Роб Райнер,США,1999
История наркомана,драма,Лех Ковальски,США,1985
История обыкновенного безумия,"драма, артхаус",Марко Феррери,"Италия, Франция",1981
История о плывущих водорослях,драма,Ясудзиро Одзу,Японская империя,1934
История одного вампира,"боевик, фэнтези, приключения",Пол Вайц,США,2009
История одинокого мальчика,социальная драма,Леонардо Фавио,Аргентина,1965
История о Рикки,"боевик, комедия, криминальный фильм",Лам Найчхой,Гонконг,1991
История одного истребителя,военный,Хуберт Драпелля,Польша,1958
"История одного обмана, или Глобальное потепление","документалистика, научно-популярный",Мартин Даркин,Великобритания,2007
История одного назначения,драма,Авдотья Смирнова,Россия,2018
История одного подзатыльника,комедия,Владимир Бычков,СССР,1980
История одного похищения,Комедия,Скотт Александер и Ларри Карезюски,США,2000
"История одной любви (фильм, 1904)",драма,"Люсьен Нонге, Фернан Зекка",Франция,1904
"История одного преступления (фильм, 1901)","драма, криминальный фильм",Фернан Зекка,Франция,1901
"История одной любви (фильм, 1942)",мелодрама,Марио Камерини,Италия,1942
"История одной любви (фильм, 1981)","мелодрама, экранизация",Артур Войтецкий,СССР,1981
История Одри Хепбёрн,"биографический, драма",Стивен Робман,США,2000
История призрака,"фэнтезийная, драма, мистика",Дэвид Лоури,США,2017
История одной старушки,Genre,Алексей Горлов,Казахстан,2013
История пьяного мастера,"боевик, комедия",Ву Пхан,Гонконг,1979
"История про Ричарда, Милорда и прекрасную Жар-птицу",комедия,Нино Ахвледиани,Россия,1997
История плохого мальчика,"драма, кинокомедия",Том Донахи,США,1999
История Пьеры,драма,Марко Феррери,"Италия, Франция, ФРГ",1983
История Райана Уайта,"драма, фильм-биография",Джон Герцфельд,США,1989
История рыцаря,"приключения, мелодрама",Брайан Хелгеленд,США,2001
История родного города (фильм),драма,Артур Пирсон,США,1951
История с ожерельем,драма,Чарльз Шайер,США,2001
История с ограблением,Комедия,Ричард Шепард,США,1991
История рядового Джо,"военный фильм, биографический фильм, драматический фильм",Уильям Уэллман,США,1945
История служанки (фильм),"драма, фантастика",Фолькер Шлёндорф,США,1989
История странного подростка,подростковый фильм,Реджина Кросби,США,2009
История семьи Блум,"драма, экранизация книги",Глендин Айвин,"США, Австралия",2020
История с привидениями (фильм),"триллер, фильм ужасов",Джон Ирвин,США,1981
История сумасшедшего,"драма, исторический фильм",Робер Гедигян,Франция,2015
История солдата (фильм),"детективная, драма",Норман Джуисон,США,1984
История Уэнделла,"драма, мелодрама, комедия","Эндрю Уилсон, Люк Уилсон",Country,2005
История Хатико,драма,Сэйдзиро Кояма,Япония,1987
История Хэккеля,"Ужасы, Мистика",Джон Макноутон,США,2005
История Тиин,историческая драма,Ли Ханьсян,Китайская Республика,1971
История Терри Фокса,"биографический фильм, драма, фильм о лёгкой атлетике",Ральф Л. Томас,"Канада, США",1983
История Хо Вьета,"драма, криминал",Энн Хёй,Гонконг,1981
История цивилизации,"немое кино, драма, исторический фильм",Жорж Мельес,Франция,1907
История Эстер Костелло,драма,Дэвид Миллер,Великобритания,1957
История Элли,драма,Асгар Фархади,Иран,2009
"История, рассказанная после Токийской войны",драма,Нагиса Осима,Япония,1970
Источник (телесериал),драма,Ксавье Дюрринжер,Франция,2013
"Источник (фильм, 1956)",драма,Масаки Кобаяси,Япония,1956
Источник вечной молодости (фильм),приключенческий фильм,Гай Ричи,США,2025
"Источник (фильм, 1949)",Драма,Кинг Видор,США,1949
"Источник (фильм, 2011)","драма, комедия",Раду Михайляну,"Франция, Бельгия, Италия",2011
Источник молодости (фильм),комедия-драма,Набуо Накагава,Япония,1953
"Истребители (фильм, 2014)","Комедия, мелодрама",Тома Кайе,Франция,2014
Источники Акицу,мелодрама,Ёсисигэ Ёсида,Япония,1962
Истребитель зомби,"комедия ужасов, зомби-комедия",Алехандро Бругес,"Испания, Куба",2011
"Исход (фильм, 1968)",Героико-приключенческий фильм,"Анатолий Бобровский, Жамьянгийн Бунтар","СССР, Монголия",1968
Истребители (фильм),киноповесть,Эдуард Пенцлин,СССР,1939
"Исход (фильм, 2026)",чёрная комедия,Джона Хилл,США,2026
"Исход (фильм, 1960)",военная драма,Отто Премингер,США,1960
Истребитель драконов,"триллер, фантастика, ужасы",Филлип Дж. Рот,США,2003
Исходный код (фильм),"фантастика, триллер, драма",Данкан Джонс,"США, Франция, Канада",2011
Исцеление (фильм),"мистика, психологический триллер",Киёси Куросава,Япония,1997
Исход: Цари и боги,"пеплум, драма",Ридли Скотт,"США, Великобритания, Испания",2014
Исчезающая точка (фильм),"роуд-муви, драма",Ричард Сарафьян,США,1971
"Исчезновение (фильм, 1978)",Genre,Вениамин Дорман,СССР,1978
Исходное положение (фильм),"комедия, фэнтези",Лайонел Стекти,Франция,2011
"Исчезновение (фильм, 1988)",триллер,Георг Слёйзер,"Нидерланды, Франция",1988
"Исчезновение (фильм, 1993)",триллер,Джордж Слёйзер,США,1993
Исцеление игрока в покер,"комедия, короткометражка",Лоуренс Тримбл,США,1912
Исчезновение Йозефа Менгеле,"исторический фильм, драма",Кирилл Серебренников,"Франция, Германия, Великобритания, Испания",2025
"Исчезновение (фильм, 2019)",триллер,Кристоффер Нюхольм,Великобритания,2019
Исчезновение на 7-й улице,"ужасы, триллер, детектив",Брэд Андерсон,США,2010
Исчезновение молодой леди,драма,Эдит Карлмар,Норвегия,1953
Исчезновение Сидни Холла,драма,Шон Кристенсен,США,2017
Исчезнувшая,"детективный, триллер",Дэвид Финчер,США,2014
Исчезнувшая империя,драма,Карен Шахназаров,Россия,2008
Исчезновение трупа,фильм ужасов,Уоллес Фокс,США,1942
Исчезновение Элис Крид,"триллер, криминальный фильм",Дж. Блэйксон,Великобритания,2009
Исчезнувший,"триллер, драма, детектив",Кристиан Карион,"Франция, Великобритания",2021
"Исчезнувшие из Сент-Ажиля (фильм, 1938)",драма,Кристиан-Жак,Франция,1938
Исчезнувшее изображение,документальный фильм,Ритхи Пань,"Франция, Камбоджа",2013
"Итальянец (фильм, 2005)",драма,Андрей Кравчук,Россия,2005
Итало Барокко,комедия,Алессия Скарсо,Италия,2014
"Итальянец (фильм, 1915)",драма,Реджинальд Баркер,США,1915
"Итальянец (фильм, 2010)","комедия, драма",Оливье Барру,Франция,2010
Итальянец в Варшаве,"военный, комедия",Станислав Ленартович,Польша,1964
Итальянец в Америке,комедия,Альберто Сорди,Италия,1967
Итальянская гонщица (фильм),драма,Маттео Ровере,Италия,2016
Итальянские каникулы (фильм),комедия,Массимо Венье,Country,2020
Итальянские любовники,"комедия, мелодрама","Джозеф Болонья, Рене Тейлор",США,1996
Итальянский для начинающих,"комедия, мелодрама, драма",Лоне Шерфиг,Дания,2000
Итальянский жеребец (фильм),порнофильм,Мортон Льюис,США,1970
Итальянский контракт,музыкальный фильм,Владимир Чеботарёв,Россия,1993
Итэн Фроум (фильм),"драма, мелодрама",Джон Мэдден,"США, Великобритания",1993
Ити,боевик,Фумихико Сори,Япония,2008
Итан Мао,драма,Квентин Ли,"США, Канада",2004
Иуда — коронованный предатель Болгарии,драма,Эдвард Пухальский,Российская империя,1915
"Иуда (фильм, 1930)","немое кино, драма",Евгений Иванов-Барков,СССР,1930
"Иуда (фильм, 2013)",драма,Андрей Богатырёв,Россия,2013
Иудушка Головлёв (фильм),"драма, экранизация",Александр Ивановский,СССР,1933
Иуда и чёрный мессия,биографический фильм,Шака Кинг,США,2021
Ифигения (фильм),экранизация античной трагедии,Михалис Какояннис,Country,1977
"Их было пятеро (фильм, 1951)",драма,Жак Пиното,Франция,1951
Их двое,мелодрама,Марта Месарош,"Венгрия, Франция",1977
Их знали только в лицо,военный фильм,Антон Тимонишин,СССР,1966
Ичи-киллер,"ужасы, драма, триллер",Такаси Миикэ,Япония,2004
Их поменяли телами,романтическая комедия,Меган Симпсон Хуберман,Австралия,1996
Ищейки с Бродвея,"комедия, драма, мелодрама",Говард Брукнер,США,1989
Иччи (фильм),Ужасы,Костас Марсаан,Country,2020
Ищите девушку,Художественный фильм,Гасан Сеидбейли,СССР,1970
Их собственная лига,комедия,Пенни Маршалл,США,1992
Иштар (фильм),"кинокомедия, приключенческий фильм, музыкальный фильм",Элейн Мэй,США,1987
"Ищите женщину (фильм, 1982)",комедия,Алла Сурикова,СССР,1982
Ищи ветра…,приключения,Владимир Любомудров,СССР,1978
Ищу друга на конец света,"драма, комедия, мелодрама, фантастика",Лорин Скафария,США,2012
"Ищите женщину (фильм, 1999)",драма,Кифер Сазерленд,США,1999
Ищу друга жизни,мелодрама,Михаил Ершов,СССР,1987
Ищите и найдёте,"киноповесть, мелодрама",Борис Романов,СССР,1969
Июльский дождь,драма,Марлен Хуциев,СССР,1966
Ищу мою судьбу,драма,Аида Манасарова,СССР,1974
Ищу человека,драма,Михаил Богин,СССР,1973
Июльская рапсодия,драма,Энн Хёй,Гонконг,2002
"Июнь, начало лета",драма,Раймондас Вабалас,"Литва, СССР",1969
Июньский жук (фильм),драма,"Фил Моррисон, англ.",США,2005
Июньский змей,"драма, триллер",Синъя Цукамото,Япония,2002
Йерихов (фильм),драма,Кристиан Петцольд,Германия,2008
Йелла (фильм),"драма, триллер",Кристиан Петцольд,Германия,2007
Йоганутые,Комедия ужасов,Кевин Смит,США,2016
Йо-хо-хо,"приключенческий фильм, драма, фэнтези",Зако Хеския,Болгария,1981
Йог: Монстр из космоса,"фантастика, приключения",Исиро Хонда,Япония,1970
Йог (фильм),"немое кино, драма","Рохус Глизе, Пауль Вегенер",Германия,1916
Йозеф (фильм),"драма, военный",Станислав Томич,Хорватия,2011
"Йонас, которому будет 25 лет в 2000 году",драма,Ален Таннер,"Швейцария, Франция",1976
Йя-Хха,драма,Рашид Нугманов,СССР,1986
Йон Рабе (фильм),биографическая историческая драма,Флориан Галленбергер,"Франция, Германия, Китай",2009
Йосси и Джаггер,драма,Эйтан Фокс,Израиль,2002
Йорген + Анна = любовь,мелодрама,Анне Севитски,Норвегия,2011
К востоку от рая (фильм),драма,Элиа Казан,США,1955
К востоку на Бикон,"Фильм нуар, Шпионский фильм",Альфред Л. Веркер,США,1952
К вам пришёл ангел,мелодрама,Николай Глинский,Россия,2004
К звёздам (фильм),"фантастика, триллер, драма, приключения",Джеймс Грэй,США,2019
К востоку от Суэца,мелодрама,Рауль Уолш,США,1925
К бою готовы,"бадди-муви, комедия",Брайан Роббинс,США,2000
К новому берегу,"драма, экранизация, исторический фильм",Леонид Луков,СССР,1955
К кому залетел певчий кенар,"драма, мелодрама",Вадим Зобин,СССР,1980
К лучшему,трагикомедия,Джон Пэдди Кастэйрс,Великобритания,1955
К нам приехала ярмарка,"детский, мюзикл",Вера Пливова-Шимкова,Чехословакия,1973
К радости (фильм),драма,Ингмар Бергман,Швеция,1950
К свету!,"драма, альманах","Борис Шиленко, Василий Лапокныш, Николай Ильинский",СССР,1966
К счастью,"фильм-триллер, комедия",БенДэвид Грабински,США,2021
К тебе или ко мне?,романтическая комедия,Алин Брош Маккенна,США,2023
К чему-то прекрасному,драма,Лиза Лангсет,Швеция,2010
К Чёрному морю,Кинокомедия,Андрей Тутышкин,СССР,1957
К чему помыслы о любви?,"драма, мелодрама",Ахим фон Боррис,Германия,2004
К чёрту любовь!,комедия,Пейтон Рид,США,2003
К чёрту добродетель,комедия,Жан Лавирон,Франция,1953
К чуду,"драма, мелодрама",Терренс Малик,США,2012
К югу от границы,документальный,Оливер Стоун,США,2009
К-19 (фильм),"драма, исторический фильм, фильм-катастрофа",Кэтрин Бигелоу,"США, Германия, Великобритания, Канада",2002
К чёрту на рога,"драма, комедия",Дженнаро Нунцианте,Италия,2016
К-9 (фильм),комедия,Род Дэниэл,США,1989
К-9 III: Частные детективы,комедия,Ричард Льюис,США,2002
Кабан-секач,фильм ужасов,Расселл Малкэхи,Австралия,1984
Кабаре (фильм),"мелодрама, мюзикл",Боб Фосс,США,1972
К-911. Собачья работа,"боевик, комедия, криминальный фильм",Чарльз Канганис,США,1999
К2: Предельная высота,"приключенческий фильм, драма",Фрэнк Роддам,"Великобритания, США, Япония",1991
Кабинет доктора Калигари,"триллер, фильм ужасов",Роберт Вине,Германия,1920
Кабеса де Вака (фильм),"биографическая, драма, исторический фильм",Николас Эчеваррия,Мексика,1991
Кабельщик,"чёрная комедия, триллер",Бен Стиллер,США,1996
Кабирия,эпический фильм,Джованни Пастроне,Королевство Италия,1914
Кабинет восковых фигур (фильм),"фильм ужасов, драма",Пауль Лени,Германия,1924
Кавалер Золотой Звезды,драма,Юлий Райзман,СССР,1950
Кабобланко,"драма, приключенческий фильм, мелодрама",Джей Ли Томпсон,"Мексика, США",1980
Кабульский экспресс,"боевик, триллер, приключенческий, роуд-муви",Кабир Хан,Индия,2006
Кавалеристы (фильм),"вестерн, военный, приключенческий",Джон Форд,США,1959
"Кавалерия (фильм, 1936)","военный фильм, драма, мелодрама",Гоффредо Алессандрини,Италия,1936
Кавалерия (фильм),"драма, военный",Николай Фульси,США,2018
Кавалькада (фильм),драма,Фрэнк Ллойд,США,1933
Кавказская пленница!,комедия,Максим Воронков,Россия,2014
"Кавказская пленница, или Новые приключения Шурика",комедия,Леонид Гайдай,СССР,1967
Кавказ (фильм),"драма, мелодрама",Фарид Гумбатов,"Азербайджан, Россия",2007
Кавардак (фильм),"романтическая комедия, фэнтези",Ральф Томас,Великобритания,1949
"Кавказский пленник (фильм, 1930)",немое кино,Александр Ивановский,СССР,1930
"Кавказский пленник (фильм, 1975)",драма,Георгий Калатозишвили,СССР,1975
Кавказская повесть,"драма, экранизация",Георгий Калатозишвили,СССР,1978
Кавказская рулетка,"драма, военный",Фёдор Попов,Россия,2002
Кадавр (фильм),"ужасы, триллер, детектив",Дидерик Ван Ружен,США,2018
Кагемуся: Тень воина,"драма, военный",Акира Куросава,Япония,1980
"Кавказский пленник (фильм, 1996)","драма, военный фильм",Сергей Бодров,"Россия, Казахстан",1996
Кадет Келли,комедия,Ларри Шоу,"США, Канада",2002
Кагбени (фильм),триллер,Бхусан Дахал,Непал,2008
Кадет (фильм),драма,Виталий Дудин,Беларусь,2009
Каджана (фильм),драма,Константин Пипинашвили,СССР,1941
Каджиллионер,"криминальный фильм, фильм о взрослении",Миранда Джулай,США,2020
Кадиллак (фильм),комедия,Джо Рот,США,1990
Кадиллак Долана (фильм),Триллер,Джефф Бисли,"США, Великобритания",2009
Кадкина всякий знает,Киноповесть,"Наталья Трощенко, Анатолий Вехотко",СССР,1976
Кадиллак Рекордс,"фильм-биография, драма, исторический фильм",Дарнелл Мартин,США,2008
"Кадиш (фильм, 2019)","Драма, Исторический, Военный",Константин Фам,"Россия, Беларусь, Израиль",2019
Кадриль (фильм),комедия,Виктор Титов,Россия,1999
Кадош (фильм),драма,Амос Гитай,"Франция, Израиль",1999
Кадр (фильм),"фантастика, криминал, драма",Джеймин Уайнэнс,США,2014
Кадры (фильм),комедия,Шон Леви,США,2013
Кадрящие,Комедия-драма,Жан-Пьер Моки,Франция,1959
Кадры инаугурации президента Мак-Кинли,документальный фильм,Томас Эдисон,США,1901
Каждая секретная вещь,"драма, детектив",Эми Джей Берг,США,2014
"Каждое воскресенье (фильм, 1999)","спортивный, драма, Альтернативный рок, Хип-хоп, R&B",Оливер Стоун,США,1999
"Каждое воскресенье (фильм, 1936)",Музыкальный фильм,Феликс Э. Файст,США,1936
Каждое любящее сердце,мелодрама,Радж Канвар,Индия,2000
Каждое утро я умираю,Криминальная мелодрама,Уильям Кили,США,1939
"Каждому своё (фильм, 1946)",мелодрама,Митчелл Лейзен,США,1946
Каждому свой ад,драма,Андре Кайат,"Франция, ФРГ",1977
"Каждому своё (фильм, 1967)","Криминальный, триллер, Драма",Элио Петри,Италия,1967
"Каждому своё (фильм, 2016)","комедия, драма",Ричард Линклейтер,США,2016
Каждый день доктора Калинниковой,киноповесть,Виктор Титов,СССР,1973
Каждый вечер в одиннадцать,мелодрама,Самсон Самсонов,СССР,1969
Каждый вечер после работы,"драма, экранизация",Константин Ершов,СССР,1973
Каждый божий день,"комедийная драма, романтическая комедия",Паоло Вирдзи,Италия,2012
"Каждый день, кроме Рождества",документальный,Линдсей Андерсон,Великобритания,1957
Каждый десятый,красный вестерн,Михаил Ордовский,СССР,1984
Каждый мечтает о собаке,"детский, драма, экранизация",Ольга Беляева,Россия,2024
Каждый охотник желает знать…,драма,Михаил Ильенко,СССР,1985
"Каждый за себя, а Бог против всех",Фильм-биография,Вернер Херцог,ФРГ,1974
Каждый твой вдох,"драма, психологический триллер",Вон Стайн,США,2021
Каждый хочет любить (фильм),"комедия, мелодрама",Лоррейн Леви,Франция,2008
"Кажется, я люблю свою жену","комедия, драма",Крис Рок,"США, Индия",2007
"Казаки (фильм, 1961)",драма,Василий Пронин,СССР,1961
"Казаки (фильм, 1928, СССР)","мелодрама, экранизация",Владимир Барский,СССР,1928
Казаблан (фильм),музыкальный фильм,Менахем Голан,Израиль,1973
"Казанова (телесериал, 2005)","мелодрама, комедия, приключения, биография",Шери Фольксон,Country,2005
"Казаки (фильм, 1928, США)","драма, экранизация",Кларенс Браун,США,1928
"Казанова (фильм, 2005)","мелодрама, комедия, приключения",Лассе Халльстрём,США,2005
Казаки идут,"история, приключения",Сергей Омельчук,Украина,1991
"Казаки-разбойники (фильм, 1979)","приключение, экранизация",Валентин Козачков,СССР,1979
Казанова Федерико Феллини,драма,Федерико Феллини,Италия,1976
Казачья быль,исторический фильм,Николай Гусаров,Россия,1999
Казачья застава,драма,Виктор Живолуб,СССР,1982
"Казённый дом (фильм, 1989)",драма,Альберт Мкртчян,СССР,1989
"Казино «Рояль» (фильм, 2006)",шпионский фильм,Мартин Кэмпбелл,"Великобритания, США, Германия, 3, Чехия, 3, 2, Италия, Багамские Острова, 2",2006
Казино «Рояль» (Climax!),Приключенческий фильм,Уильям Браун-младший,США,1954
"Казённый дом (фильм, 1930)","драма, триллер",Джордж У. Хилл,США,1930
"Казино (фильм, 1995)","драма, гангстерский фильм, Рок, соул, фанк, R&B, блюз, джаз, кантри, поп-музыка",Мартин Скорсезе,"США, Франция",1995
Казимир Великий (фильм),"исторический, фильм-биография","Эва Петельская, Чеслав Петельский",Польша,1975
"Казино «Рояль» (фильм, 1967)","пародийная, комедия","Джон Хьюстон, Вэл Гест, Кен Хьюз, Джозеф МакГрат, Роберт Пэрриш","Великобритания, США",1967
Казино Джек,"фильм-биография, комедия, криминальный фильм",Джордж Хикенлупер,Канада,2010
Казино без границ,порнофильм,Эрве Бодилис,Франция,2008
Казначейша,"фильм-опера, комедия, мелодрама, экранизация",Виктор Окунцов,СССР,1980
"Казнить нельзя помиловать (фильм, 2026)","научно-фантастический, остросюжетный боевик",Тимур Бекмамбетов,США,2026
Казнён в 41-м,документальный,Виталий Четвериков,СССР,1967
Казнь (фильм),"триллер, неонуар, детектив",Ладо Кватания,Россия,2021
Казнить не представляется возможным,"историческая, драма",Исаак Шмарук,СССР,1982
Казнь слона,Документальный,Томас Эдисон,США,1903
Казнить нельзя помиловать (фильм),Художественный фильм,Михаил Апарцев,Россия,2007
Казнь китайского заключённого,драма,Director,США,1900
Каин XVIII,"Фильм-сказка, комедия","Надежда Кошеверова, Михаил Шапиро",СССР,1963
Казус белли (фильм),Комедия,Игорь Угольников,Россия,2002
Каин и Артём,"драма, экранизация",Павел Петров-Бытов,СССР,1929
"Кайдан (фильм, 1964)","фольклор, мистика",Масаки Кобаяси,Япония,1964
