name,genre,director,country,year
16 кварталов,"криминальный фильм, драма, триллер",Ричард Доннер,США,2006
17 девушек (фильм),драма,Дельфин Кулин,Франция,2011
18 килогерц,драма,Фархат Шарипов,Казахстан,2020
"18 мая (фильм, 2007)",боевик,Ким Джи Хун,Республика Корея,2007
18-14,"исторический, детектив, приключение",Андрес Пуустусмаа,Россия,2007
18-летняя девственница,комедия,Тамара Олсон,США,2008
20 000 дней на Земле,"документальный, музыкальный","Айан Форсайт, Джейн Поллард",Великобритания,2014
"20 000 лье под водой (фильм, 1916)",фантастика,Стюарт Патон,США,1916
20 000 лет в Синг-Синге,Криминальная мелодрама,Майкл Кёртис,США,1932
"20 000 лье под водой (фильм, 1954)","драма, стимпанк, приключенческий фильм",Ричард Флейшер,США,1954
"20 000 лье под водой (фильм, 1997)","приключенческий фильм, научная фантастика",Род Харди,США,1997
20 дней в Мариуполе,"документальный фильм, военный фильм",Мстислав Чернов,Украина,2023
20 миллионов миль до Земли,"научно-фантастический фильм, фильм о монстрах, фильм-катастрофа, приключения, фэнтези, фильм-триллер, фильм ужасов, научно-фантастический фильм ужасов",Натан Юран,"США, Италия, ФРГ",1957
20 сантиметров,"комедия, мюзикл",Рамон Саласар,"Испания, Франция",2005
20 сигарет,"драма, комедия",Александр Горновский,Россия,2007
20 тысяч разновидностей пчёл,"драма, ЛГБТ-фильм",Эстибалис Урресола,Испания,2023
21 грамм,драма,Алехандро Гонсалес Иньярриту,США,2003
21 и больше,комедия,Джон Лукас,США,2013
21 мост,"драма, триллер, детектив",Брайан Кирк,США,2019
21 ночь с Патти,комедия,"Арно Ларье, Жан-Мари Ларье",Франция,2015
22 июля (фильм),Драма,Пол Гринграсс,США,2018
"22 июня, ровно в 4 часа…",драма,Борис Галкин,Россия,1992
22 мили,"боевик, триллер",Питер Берг,США,2018
22 минуты,боевик,Василий Сериков,Россия,2014
22 пули: Бессмертный,"триллер, детектив",Ришар Берри,Франция,2010
23 (фильм),"триллер, драма",Ганс-Христиан Шмидт,Германия,1998
24 кадра,драма,Аббас Киаростами,"Иран, Франция",2017
24 недели,драма,Анна Зора Берашед,Германия,2016
"24 часа (фильм, 2000)","боевик, драма",Александр Атанесян,Россия,2000
"24 часа (фильм, 2002)",триллер,Луис Мандоки,"США, Германия",2002
"24 часа из жизни женщины (фильм, 1952)",экранизация литературного произведения,Виктор Сэвилл,Великобритания,1952
"24 часа из жизни женщины (фильм, 1999)",комедия,Нэнси Савока,США,1999
24 часа откровенного секса,"порнофильм, сексплуатационный фильм",Жозе Можика Маринш,Бразилия,1985
24-25 не возвращается,"детективный фильм, драма","Алоиз Бренч, Ростислав Горяев",СССР,1968
25 ватт,Комедийная драма,Хуан Пабло Ребелья,Уругвай,2001
25-й час,"криминальный фильм, драма",Спайк Ли,США,2002
27 свадеб,романтическая комедия,Энн Флетчер,США,2008
27 секунд памяти,документальный,Иван Качалин,"Россия, Чехия, Нидерланды",2019
27 украденных поцелуев,"комедия, драма, мелодрама",Нана Джорджадзе,"Грузия, Франция, Германия, Россия",2000
27-й день,научная фантастика,Уильям Эшер,США,1957
28 дней,"драма, комедия",Бетти Томас,США,2000
28 дней спустя,"постапокалиптический, фильм ужасов, Музыка к фильму",Дэнни Бойл,Великобритания,2002
28 лет спустя,"постапокалиптический, фильм ужасов",Дэнни Бойл,"Великобритания, США",2025
28 лет спустя: Храм костей,"постапокалиптический, фильм ужасов",Ниа Дакоста,"Великобритания, США",2026
28 недель спустя,"постапокалиптический, фильм ужасов",Хуан Карлос Фреснадильо,"Великобритания, США, Испания",2007
29 километр (фильм),"драма, музыкальный фильм",Леонид Андронов,Россия,2012
"29 пальм (фильм, 2003)","драма, роуд-муви",Брюно Дюмон,"Франция, Германия, США",2003
"29-я улица (фильм, 1991)","комедия, драма",Джордж Галло,США,1991
30 безумных желаний,независимый кинематограф,Питер Хатчингс,США,2018
30 дней до рассвета,"фильм ужасов, комедия",Андерс Банке,Швеция,2006
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,2007
30 дней ночи: Тёмные времена,"триллер, фильм ужасов",Бен Кетай,США,2010
30 свиданий,"комедия, мелодрама",Таисия Игуменцева,Россия,2016
30 Rock: A XXX Parody,порнофильм,Ли Рой Майерс,США,2009
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"комедийный, фильм ужасов",Крэйг Мосс,США,2012
31 (фильм),Фильм ужасов,Роб Зомби,США,2016
31-й километр,"ужасы, мистика",Ригоберто Кастаньеда,"Мексика, Испания",2006
32 декабря (фильм),"комедия, фантастика, мелодрама",Александр Муратов,Россия,2004
32-е августа на Земле,"драма, мелодрама",Дени Вильнёв,Канада,1998
33 (фильм),драма,Патрисия Ригген,"США, Чили, Колумбия",2015
34-й скорый,"Фильм-катастрофа, приключенческий фильм, драма",Андрей Малюков,СССР,1981
36 безумных кулаков,"боевик, комедия",Чэнь Чжихуа,Гонконг,1977
38-я параллель (фильм),"драма, боевик, военный",Кан Джегю,Республика Корея,2004
39-я бригада (фильм),"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959
"40 (фильм, 2007)","детектив, триллер",Александр Галибин,Россия,2007
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009
42 (фильм),"драма, спортивный фильм",Брайан Хелгеленд,"США, 2, 3",2013
42-я улица (фильм),"комедия, мюзикл, мелодрама","Ллойд Бэкон, Басби Беркли",США,1933
45 лет,драма,Эндрю Хэйг,Великобритания,2015
45-й калибр,драма,Гари Леннон,США,2006
"47 ронинов (фильм, 2013)","фэнтези, боевик, драма",Карл Ринш,"США, Япония",2013
50 оттенков голубого,драма,Стюарт Мейн,Новая Зеландия,2005
"49 дней (фильм, 1962)","драма, приключения",Генрих Габай,СССР,1962
50 первых поцелуев,романтическая комедия,Питер Сигал,США,2004
50 таблеток,Драма,Тео Эвгерино,США,2006
"50 ютуберов борются за $1,000,000 для своих подписчиков!",Genre,Director,Country,2024
51 (фильм),"фантастика, фильм ужасов",Джейсон Коннери,США,2011
55 (фильм),"документальный фильм, пропаганда",Никита Михалков,Россия,2007
55 дней в Пекине,"драма, исторический, военный",Николас Рэй,США,1963
55-й элемент,"драма, фильм-катастрофа",Энтони Пхунь,Гонконг,2024
57 секунд,Genre,Расти Кандифф,США,2023
65 (фильм),научная фантастика,"Скотт Бек, Брайан Вудс","США, 5",2023
69 (фильм),"комедия, криминальный фильм",Пен-Ек Ратанаруанг,Таиланд,1999
71 (фильм),"историческая, драма",Ян Деманж,Великобритания,2014
71 фрагмент хронологии случайностей,драма,Михаэль Ханеке,"Австрия, Германия",1994
71: В огне,"боевик, драма, военный фильм",Ли Джэ Хан,Республика Корея,2010
72 метра,"фильм-катастрофа, драма, трагикомедия",Владимир Хотиненко,Россия,2004
72 часа,"военный, драма",Кира Ангелина,Россия,2015
76 дней,документальный фильм,Ли Ву,"Китай, США",2020
80 миллионов,"драма, боевик, исторический фильм",Вальдемар Кшистек,Польша,2011
88 минут,триллер,Джон Эвнет,"США, Канада, Германия",2007
90 минут на небесах,драма,Майкл Полиш,США,2015
92 ядерных взрыва на планете Земля,документальный фильм,Питер Гринуэй,Country,2010
92: Чёрная Роза против Чёрной розы,комедия,Джеффри Лау,Гонконг,1992
"99 (фильм, 1918)",криминальный фильм,Майкл Кёртис,Country,1918
99 домов,драма,Рамин Бахрани,США,2014
99 женщин,"драма, триллер, фильм ужасов",Хесус Франко,"Великобритания, Италия, Испания, Лихтенштейн",1969
99 франков (фильм),"комедия, драма",Ян Кунен,Франция,2007
100 вещей и ничего лишнего,комедия,Флориан Давид Фиц,Германия,2018
100 всадников,"исторический фильм, приключенческий фильм",Витторио Коттафави,"Италия, Испания",1964
100 девчонок и одна в лифте,комедия,Майкл Дэвис,США,2000
100 дней с Мистером Высокомерие,"романтическая кинокомедия, мелодрама",Шин Джэ-хо,Республика Корея,2004
100 метров (фильм),"драма, комедия",Марсель Баррена,"Испания, Португалия",2016
100 лет (фильм),Научная фантастика,Роберт Родригес,Франция,2015
100 миллионов евро,комедия,Оливье Барру,Франция,2011
100 проблем и девушка,Комедия,Мэтью Хаффман,США,2000
100 слёз,фильм ужасов,Маркус Кох,США,2007
100 футов,триллер,Эрик Ред,США,2008
101 далматинец (фильм),"семейный фильм, комедия, приключенческий фильм",Стивен Херек,США,1996
101 Рейкьявик,романтическая комедия,Балтазар Кормакур,"Исландия, Дания, Норвегия, Франция",2000
101-й километр (фильм),драма,Леонид Марягин,Россия,2001
109-й идёт без остановок,фильм-катастрофа,Дзюнъя Сато,Япония,1975
102 далматинца,комедия,Кевин Лима,США,2000
120 ударов в минуту,"драма, ЛГБТ-фильм",Робен Кампийо,Франция,2017
127 часов,"драма, триллер",Дэнни Бойл,"США, Великобритания",2010
130 детей,документальный фильм,Ainara Aparici,Country,2022
128 ударов сердца в минуту,музыкальная драма,Макс Джозеф,"США, Франция, Великобритания",2015
180 (фильм),документальный фильм,Рэй Комфорт,США,2011
187 (фильм),"драма, триллер",Кевин Рейнольдс,США,1997
200 сигарет,"комедия, драма, мелодрама",Риза Брэмон Гарсия,США,1999
247 градусов по Фаренгейту,фильм ужасов,Леван Бакха,"США, Грузия",2011
"300 спартанцев (фильм, 2006)","эпический, исторический, боевик",Зак Снайдер,США,2006
"301, 302","триллер, фильм ужасов, детектив",Пак Чхоль Су,Республика Корея,1995
317-й взвод,"военный фильм, драма",Пьер Шёндёрффер,"Франция, Испания",1964
365 дней (фильм),эротическая комедия,"Барбара Бяловонс, Томаш Мандес",Польша,2020
"451 градус по Фаренгейту (фильм, 1966)",антиутопия,Франсуа Трюффо,"Франция, Великобритания",1966
475 (фильм),документальный фильм,Nadir Bouhmouch,Марокко,2013
500 дней лета,"романтическая, комедийная драма",Марк Уэбб,США,2009
600 миль,драма,Габриэль Рипштейн,Мексика,2015
711 Оушен Драйв,Фильм нуар,Джозеф М. Ньюман,США,1950
713-й просит посадку,"драма, триллер, приключение, фильм-катастрофа",Григорий Никулин,СССР,1962
800 льё вниз по Амазонке,приключения,Луис Льоса,"Перу, США",1993
800 пуль,драма,Алекс Де Ла Иглесиа,Испания,2002
900 дней. Миф и реальность ленинградской блокады,документальный,Джессика Гортер,Нидерланды,2011
900 незабываемых дней,"документальный, пропагандистский",Валерий Соловцов,СССР,1964
977 (фильм),"фантастика, драма",Николай Хомерики,Россия,2006
1002-ая ночь,музыкальный фильм,Мукадас Махмудов,СССР,1964
1210 (фильм),драма,Арсений Гончуков,Россия,2012
1242: Врата на Запад,исторический фильм,Петер Шоош,Венгрия,2025
1408 (фильм),"психологические ужасы, триллер, мистика, психоделика, драма",Микаэль Хофстрём,США,2007
1492: Завоевание рая,"драма, исторический",Ридли Скотт,"США, Франция, Испания, Великобритания",1992
1500 шагов,драма,Джош Рейд,Австралия,2014
1612 (фильм),Приключенческий фильм,Владимир Хотиненко,Россия,2007
1812 год (фильм),"драма, исторический","Василий Гончаров, Кай Ганзен, Александр Уральский",Российская империя,1912
1812: Уланская баллада,"приключенческий, исторический",Олег Фесенко,Россия,2012
1860 (фильм),Драма,Алессандро Блазетти,Италия,1934
1917 (фильм),военный фильм,Сэм Мендес,"Великобритания, США",2019
1922 (фильм),"криминальная драма, триллер",Зак Хилдитч,США,2017
"1939 (фильм, 1989)",драма,Йоран Кармбак,Швеция,1989
1939 (фильм),драма,Стивен Поляков,Великобритания,2009
1941 (фильм),"военная, комедия",Стивен Спилберг,США,1979
1941. Крылья над Берлином,"биография, мелодрама",Константин Буслов,Россия,2022
1944 (фильм),"военный фильм, драма",Эльмо Нюганен,"Эстония, Финляндия",2015
1949 (фильм),биографический фильм,Павел Павликовский,"Польша, Германия, Франция, Италия",2027
"1984 (фильм, 1956)","антиутопия, драма, фантастика",Майкл Андерсон,Великобритания,1956
"1984 (фильм, 1984)",антиутопия,Майкл Рэдфорд,Великобритания,1984
"1984 (фильм, 2023)",антиутопия,Диана Ринго,"Финляндия, Россия",2023
1971 (фильм),документалистика,Джоанна Гамильтон,США,2014
1993 (фильм),драма,Александр Велединский,Россия,2023
1991: The Year Punk Broke,документальный,Дэвид Марки,США,1992
1984 (рекламный ролик),Реклама,Ридли Скотт,США,1983
2000 метров до Андреевки,документальный фильм,Мстислав Чернов,Украина,2025
1990: Воины Бронкса,"боевик, антиутопия",Энцо Г. Кастеллари,Италия,1982
2012 (фильм),"научно-фантастический, фильм-катастрофа",Роланд Эммерих,США,2009
2001 маньяк,комедия ужасов,Тим Салливан,США,2005
2019: После падения Нью-Йорка,"боевик, фильм ужасов, фантастика, постапокалиптика",Сержо Мартино,"Франция, Италия",1983
2012: Ледниковый период,"научно-фантастический, фильм-катастрофа",Трэвис Форт,США,2011
2009: Утраченные воспоминания,"Альтернативная история, Фантастический, боевик, Триллер",Ли Си Мён,"Южная Корея, Япония",2002
2001 маньяк: Территория криков,"комедия, фильм ужасов",Тим Салливан,США,2010
2046 (фильм),"драма, мелодрама, фантастика",Вонг Карвай,"Китай, Гонконг",2004
2030 — Восстание молодых немцев,"фантастика, драма",Йорг Людорф,Германия,2011
2067: Петля времени,"научно-фантастический, триллер",Сет Ларни,Австралия,2020
2036: Происхождение неизвестно,научная фантастика,Хасраф Дулулл,Великобритания,2018
2050 (фильм),"научная фантастика, драма",Принстон Холт,США,2018
2036: Nexus Dawn,"антиутопический фильм, научно-фантастический фильм, киберпанк",Люк Скотт,США,2017
3096 дней (фильм),драма,Шерри Хорман,Германия,2013
2081 (фильм),"Фантастика, Антиутопия",Чендлер Таттл,США,2009
2199: Космическая одиссея,"боевик, постапокалиптика, космическая опера, драма",Такаси Ямадзаки,Япония,2010
3000 миль до Грейсленда,"драма, комедия, криминал, триллер",Дэмиен Лихтенштайн,США,2001
А в душе я танцую,драма,Дэмиен О'Доннелл,"Великобритания, Ирландия, Франция",2004
"7500 (фильм, 2014)","ужасы, триллер",Такаси Симидзу,"США, Япония",2014
7500 (фильм),"Триллер, боевик",Патрик Воллрат,"США, Австрия, Германия",2019
А был ли Каротин?,"детективный фильм, комедия",Геннадий Полока,СССР,1989
А вот и гости!,"комедия, драма, семейный фильм, фэнтези",Дэвид Йейтс,Великобритания,2003
А вот и Лола,Романтическая комедия,"Эллен Сидлер, Мэган Силер",США,2009
А вот и Полли,комедия,Джон Гамбург,США,2004
А вот и Хаггетты,"комедия, драма",Кен Эннакин,Великобритания,1948
А вы любили когда-нибудь?,музыкальная комедия,Игорь Усов,СССР,1973
"А зори здесь тихие (фильм, 1972)","драма, военный, экранизация",Станислав Ростоцкий,СССР,1972
А если это любовь?,драма,Юлий Райзман,СССР,1962
А защищал её Плевако,драма,Николай Козловский,Российская империя,1916
А завтра весь мир,драма,Юлия фон Хайнц,Country,2020
А как же Боб?,комедия,Фрэнк Оз,США,1991
А зори здесь тихие...,"драма, военный",Ренат Давлетьяров,Россия,2015
А кто я на этот раз?,драма,Джонатан Демми,США,1983
"А ну-ка, дедушки!",комедия,"Нинель Ненова-Цулая, Гено Цулая",СССР,1981
А пароходы гудят и уходят…,Genre,Рубен Мурадян,СССР,1972
А потом мы танцевали,драма,Леван Акин,"Грузия, Франция, Швеция",2019
А теперь не смотри,мистический триллер,Николас Роуг,"Великобритания, Италия",1973
А поутру они проснулись (фильм),"комедия, драма",Сергей Никоненко,Россия,2003
А счастье рядом,мелодрама,Маргарита Касымова,"СССР, Таджикская ССР",1978
А теперь суди…,драма,Владимир Довгань,СССР,1966
А у нас была тишина…,военная драма,Владимир Шамшурин,СССР,1977
"А теперь, дамы и господа","криминальный фильм, драма, мелодрама, триллер",Клод Лелуш,"Франция, Великобритания",2002
А у вас который час? (фильм),драма,Цай Минлян,Китайская Республика,2001
А теперь нечто совсем другое,комедия,Иан Макнафтон,Великобритания,1971
А чой-то ты во фраке? (фильм),"комедия, мюзикл",Иосиф Райхельгауз,Россия,1993
Аббатство Даунтон (фильм),драма,Майкл Энглер,Великобритания,2019
Аббатство Даунтон 3,Genre,Саймон Кёртис,"Великобритания, США",2025
Абатуар. Лабиринт страха,фильм ужасов,Даррен Линн Боусман,США,2016
Аафат,криминальный триллер,Атма Рам,Индия,1977
Аббатство Даунтон: Новая эра,историческая драма,Саймон Кёртис,"Великобритания, США",2022
Аббат Шаолиня,"боевик, приключенческий фильм",Хэ Мэнхуа,Гонконг,1979
Абдулла Арипов (фильм),"история, биография",Музаффархон Эркинов,Узбекистан,2023
"Абдулладжан, или Посвящается Стивену Спилбергу","фантастический фильм, комедия",Зульфикар Мусаков,СССР,1991
Абель (фильм),комедия,Алекс ван Вармердам,Нидерланды,1986
Абесалом и Этери (фильм),"опера, драма, романтика",Леонард Эсакия,Грузия,1966
Абитуриентка (фильм),Драма,Алексей Мишурин,СССР,1973
Аборт (фильм),Genre,Ариндам Сил,Индия,2013
"Аборт: Истории, рассказанные женщинами",документальный фильм,Director,Country,2016
Абориген (фильм),Драма,Елена Николаева,СССР,1988
"Абраксас, хранитель Вселенной",боевик,Дэмьен Ли,США,1991
Абрикосовые рощи,драма,Пуриа Хейдари Урех,Армения,2016
Абсолон,фантастический боевик,Дэвид Барто,"Великобритания, Канада",2003
"Абсолютная власть (фильм, 1990)","драма, триллер",Джон Ирвин,"Франция, Израиль, Канада, Великобритания",1990
"Абсолютная власть (фильм, 1997)","драма, триллер",Клинт Иствуд,США,1997
Абсолютная сотня,"криминал, драма, боевик, триллер",Срджан Голубович,СР Югославия,2001
"Абсолютная власть (фильм, 2016)","драма, триллер, детектив",Даниэль Рагуссис,США,2016
Абсурдистан,Комедия,Файт Хельмер,"Германия, Азербайджан",2008
Абу Райхан Беруни (фильм),драма,Шухрат Аббасов,СССР,1974
Абсолютные новички,"драма, фэнтези, мелодрама, мюзикл",Джулиен Темпл,"Великобритания, Австралия",1986
Ава (фильм),драма,Леа Мисиус,Франция,2017
"Авалон (фильм, 1990)",драма,Барри Левинсон,США,1990
